"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.4.1","172.16.4.193","DHCP","348","DHCP ACK      - Transaction ID 0x39132272"
"2","0.008974","172.16.4.193","224.0.0.252","LLMNR","69","Standard query 0xf14f ANY Stewie-PC"
"3","0.107795","172.16.4.193","224.0.0.252","LLMNR","69","Standard query 0xf14f ANY Stewie-PC"
"4","1.528070","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x8280 A isatap"
"5","1.636618","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x8280 A isatap"
"6","2.060191","172.16.4.193","172.16.4.255","NBNS","110","Release NB STEWIE-PC<20>"
"7","2.060388","172.16.4.193","172.16.4.255","NBNS","110","Release NB WORKGROUP<00>"
"8","2.060396","172.16.4.193","172.16.4.255","NBNS","110","Release NB STEWIE-PC<00>"
"9","2.136179","172.16.4.193","172.16.4.255","NBNS","110","Registration NB STEWIE-PC<00>"
"10","2.136377","172.16.4.193","172.16.4.255","NBNS","110","Registration NB WORKGROUP<00>"
"11","2.136383","172.16.4.193","172.16.4.255","NBNS","110","Registration NB STEWIE-PC<20>"
"12","2.603784","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"13","2.900156","172.16.4.193","172.16.4.255","NBNS","110","Registration NB STEWIE-PC<20>"
"14","2.900175","172.16.4.193","172.16.4.255","NBNS","110","Registration NB WORKGROUP<00>"
"15","2.900180","172.16.4.193","172.16.4.255","NBNS","110","Registration NB STEWIE-PC<00>"
"16","3.060350","172.16.4.193","172.16.4.1","DNS","85","Standard query 0xeb7f A teredo.ipv6.microsoft.com"
"17","3.250308","172.16.4.1","172.16.4.193","DNS","187","Standard query response 0xeb7f No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"18","3.368166","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"19","3.419891","172.16.4.193","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0x374973ec"
"20","3.419917","172.16.4.193","224.0.0.252","LLMNR","69","Standard query 0xf553 ANY Stewie-PC"
"21","3.420105","172.16.4.1","172.16.4.193","DHCP","342","DHCP ACK      - Transaction ID 0x374973ec"
"22","3.423435","172.16.4.193","224.0.0.252","LLMNR","64","Standard query 0x41b6 A wpad"
"23","3.524231","172.16.4.193","224.0.0.252","LLMNR","64","Standard query 0x41b6 A wpad"
"24","3.524418","172.16.4.193","224.0.0.252","LLMNR","69","Standard query 0xf553 ANY Stewie-PC"
"25","3.664572","172.16.4.193","172.16.4.255","NBNS","110","Registration NB STEWIE-PC<00>"
"26","3.664591","172.16.4.193","172.16.4.255","NBNS","110","Registration NB WORKGROUP<00>"
"27","3.664596","172.16.4.193","172.16.4.255","NBNS","110","Registration NB STEWIE-PC<20>"
"28","3.727235","172.16.4.193","172.16.4.255","NBNS","92","Name query NB WPAD<00>"
"29","4.133497","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0xf4fd A isatap"
"30","4.241846","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0xf4fd A isatap"
"31","4.429000","172.16.4.193","172.16.4.255","NBNS","110","Registration NB STEWIE-PC<20>"
"32","4.429021","172.16.4.193","172.16.4.255","NBNS","110","Registration NB WORKGROUP<00>"
"33","4.429026","172.16.4.193","172.16.4.255","NBNS","110","Registration NB STEWIE-PC<00>"
"34","4.444825","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"35","4.491408","172.16.4.193","172.16.4.255","NBNS","92","Name query NB WPAD<00>"
"36","5.208997","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"37","5.255772","172.16.4.193","172.16.4.255","NBNS","92","Name query NB WPAD<00>"
"38","5.973434","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"39","6.023250","172.16.4.193","172.16.4.1","DNS","76","Standard query 0x6f69 A www.msftncsi.com"
"40","6.126382","172.16.4.1","172.16.4.193","DNS","182","Standard query response 0x6f69 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 66.152.103.72 A 66.152.103.74"
"41","6.128969","172.16.4.193","66.152.103.72","TCP","66","49157  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"42","6.200574","66.152.103.72","172.16.4.193","TCP","66","80  >  49157 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1321 SACK_PERM WS=32"
"43","6.200731","172.16.4.193","66.152.103.72","TCP","60","49157  >  80 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"44","6.200977","172.16.4.193","66.152.103.72","HTTP","151","GET /ncsi.txt HTTP/1.1 "
"45","6.281882","66.152.103.72","172.16.4.193","TCP","54","80  >  49157 [ACK] Seq=1 Ack=98 Win=29216 Len=0"
"46","6.282080","66.152.103.72","172.16.4.193","HTTP","233","HTTP/1.1 200 OK  (text/plain)"
"47","6.282105","66.152.103.72","172.16.4.193","TCP","54","80  >  49157 [FIN, ACK] Seq=180 Ack=98 Win=29216 Len=0"
"48","6.282230","172.16.4.193","66.152.103.72","TCP","60","49157  >  80 [ACK] Seq=98 Ack=181 Win=65792 Len=0"
"49","6.282269","172.16.4.193","66.152.103.72","TCP","60","49157  >  80 [FIN, ACK] Seq=98 Ack=181 Win=65792 Len=0"
"50","6.353842","66.152.103.72","172.16.4.193","TCP","54","80  >  49157 [ACK] Seq=181 Ack=99 Win=29216 Len=0"
"51","6.738459","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x90bb A isatap"
"52","6.829154","172.16.4.193","172.16.4.1","DNS","85","Standard query 0x3c54 A teredo.ipv6.microsoft.com"
"53","6.829250","172.16.4.1","172.16.4.193","DNS","134","Standard query response 0x3c54 No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net"
"54","6.847063","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x90bb A isatap"
"55","7.050059","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"56","7.814269","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"57","8.578668","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"58","9.343744","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x3f8a A isatap"
"59","9.452326","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x3f8a A isatap"
"60","9.655243","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"61","10.419494","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"62","11.183905","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"63","11.948999","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x5b88 A isatap"
"64","12.057561","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x5b88 A isatap"
"65","12.260482","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"66","13.024730","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"67","13.789137","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"68","14.554535","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x0eea A isatap"
"69","14.662794","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x0eea A isatap"
"70","14.865726","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"71","15.629968","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"72","16.394380","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"73","17.159483","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x69fe A isatap"
"74","17.268032","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x69fe A isatap"
"75","17.470978","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"76","18.235202","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"77","18.999613","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"78","19.764526","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x748e A isatap"
"79","19.873256","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x748e A isatap"
"80","20.076431","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"81","20.840402","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"82","21.604845","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"83","22.369890","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0xb2c5 A isatap"
"84","22.478645","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0xb2c5 A isatap"
"85","22.681453","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"86","23.445635","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"87","24.210080","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"88","24.975179","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0xb4d3 A isatap"
"89","25.083707","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0xb4d3 A isatap"
"90","25.286686","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"91","26.050911","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"92","26.815284","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"93","27.580332","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x7b80 A isatap"
"94","27.688955","172.16.4.193","224.0.0.252","LLMNR","66","Standard query 0x7b80 A isatap"
"95","27.891930","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"96","28.656143","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"97","29.420549","172.16.4.193","172.16.4.255","NBNS","92","Name query NB ISATAP<00>"
"98","44.168155","172.16.4.193","172.16.4.1","DNS","72","Standard query 0xacdf A www.bing.com"
"99","44.248037","172.16.4.1","172.16.4.193","DNS","164","Standard query response 0xacdf A www.bing.com CNAME www-bing-com.a-0001.a-msedge.net CNAME a-0001.a-msedge.net A 204.79.197.200 A 13.107.21.200"
"100","44.647184","172.16.4.193","224.0.0.252","LLMNR","64","Standard query 0xe13b A wpad"
"101","44.694041","172.16.4.193","204.79.197.200","TCP","66","49158  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"102","44.694091","172.16.4.193","204.79.197.200","TCP","66","49159  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"103","44.755629","172.16.4.193","224.0.0.252","LLMNR","64","Standard query 0xe13b A wpad"
